sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S9998,0,14174,0.837887,-0.979218,0.000000,0.000000,0.753441,0.686665,-0.551745,0.000000,-0.000008,0.000000,0.000000,0.000000,-0.753722,0.000000,-0.865127,1.106321,0.000000,0.000000,0.000000,0.000000,-0.877956,0.000000,0.736900,0.000000,0.636950,-0.000002,0.000008,0.000001,2.019130,0.000000,0.764599,0.000000,-0.806348,-1.095957,0.000000,0.000000,0.247580,0.000000,0.000000,0.000000,0.222627,0.202896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177242,0.000000,0.153202,0.000000,0.000002,0.000000,0.485649,0.000000,0.183904,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,1,16812,0.000000,-1.958433,0.000000,-0.893093,0.000000,-2.746666,-1.655232,-1.562761,-9.065613,-0.446913,-1.034211,-0.435560,-0.753722,0.000000,-0.865127,0.000000,0.000000,0.000000,0.805626,1.883846,0.000000,1.646351,1.473801,2.565019,1.910854,1.212440,10.355370,1.048249,1.009565,0.471053,0.764599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032037,0.074914,0.000000,0.065470,0.058608,0.102002,0.075988,0.048215,0.411797,0.041685,0.040147,0.018732,0.030405,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,2,19411,0.837885,-0.979218,-0.925961,-0.893093,0.753441,-0.000002,-0.551744,-0.520921,-1.133202,0.000000,0.000000,-0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.636953,-0.606218,-1.150597,0.000000,2.019130,0.000000,0.000000,0.000000,0.000000,-1.095957,0.000000,0.000000,0.526532,0.000000,0.000000,0.000000,0.473467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,3,22033,0.837887,-0.000001,0.000000,-0.893093,0.000000,0.000000,-0.000002,0.520922,1.133202,0.446913,1.034211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.941923,0.000000,0.000000,0.736900,-0.000001,-0.000002,0.000002,1.150604,0.000000,1.009565,0.471053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131111,0.285216,0.112484,0.260301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218787,0.000000,0.000000,0.000001,0.341616,0.000000,0.299741,0.139856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,4,24578,0.837887,1.958433,0.925962,0.893093,0.753441,3.433331,1.655232,1.562761,10.198807,1.340739,1.034211,0.871120,0.753722,0.808875,0.865126,1.106321,0.000000,0.000000,0.000000,0.000000,0.000000,0.823177,0.736899,0.000000,-0.000002,-0.000002,0.000008,0.000001,1.009564,-0.000000,0.000000,0.000000,0.000000,-0.000001,0.680105,0.000000,0.028894,0.067534,0.031931,0.030797,0.025982,0.118395,0.057079,0.053890,0.351694,0.046234,0.035664,0.030040,0.025991,0.027893,0.029833,0.038150,0.000000,0.000000,0.000000,0.000000,0.000000,0.253304,0.226755,0.000000,0.000000,0.000000,0.000002,0.000000,0.310659,0.000000,0.000000,0.000000,0.000000,0.000000,0.209279,0.000000
S9998,5,27216,0.000000,0.000000,0.000000,0.000001,0.753440,0.686665,-0.000001,0.520922,-0.000008,0.000000,1.034211,0.000000,-0.753722,0.000000,-0.000000,1.106321,0.632832,0.000000,0.000000,-0.941924,-0.877956,0.000000,0.000001,-0.641254,-1.273905,-1.212439,-3.451782,-1.048250,0.000000,-0.471054,0.000000,-0.812244,-1.612696,-1.095957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159142,0.145038,0.000000,0.110029,0.000000,0.000000,0.218446,0.000000,0.000000,0.000000,0.000000,0.233678,0.133667,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,6,29789,0.000000,-0.979218,-0.925961,-0.893093,0.000000,-1.373335,-1.103489,-1.041840,-6.799210,-0.446913,-1.034211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.823175,0.000000,0.641254,-0.000004,0.606220,3.451790,0.000000,1.009565,0.471053,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117545,0.000000,0.091568,0.000000,0.086565,0.492898,0.000000,0.144161,0.067264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,7,32399,0.837885,0.979218,0.000000,0.893093,0.753441,2.059998,1.103487,1.562763,6.799206,0.446914,0.000000,0.435560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.941923,0.000000,-0.823175,0.000000,-0.641255,-1.273905,-0.606218,-3.451790,0.000000,1.009565,-0.471053,0.764599,0.000000,-0.806348,-1.095957,0.000000,0.000000,0.052792,0.061696,0.000000,0.056270,0.047471,0.129792,0.069526,0.098463,0.428389,0.028158,0.000000,0.027443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.569037,0.000000,0.430963,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,8,34950,0.837887,0.979216,0.000000,0.000000,0.000000,0.686665,-0.000001,0.000001,2.266403,0.446913,0.000000,0.000000,0.000000,0.000000,0.000000,1.106321,0.000000,0.000000,0.805626,0.941923,0.000000,0.823175,0.736900,1.923765,2.547806,1.818657,9.204781,1.048250,1.009564,0.471053,0.764599,0.000000,0.000000,0.000000,0.000000,0.000000,0.132506,0.154856,0.000000,0.000000,0.000000,0.108591,0.000000,0.000000,0.358415,0.070676,0.000000,0.000000,0.000000,0.000000,0.000000,0.174957,0.000000,0.000000,0.036460,0.042628,0.000000,0.037254,0.033350,0.087064,0.115306,0.082307,0.416579,0.047441,0.045690,0.021318,0.034603,0.000000,0.000000,0.000000,0.000000,0.000000
S9998,9,37594,0.837887,-0.000001,0.000000,0.000000,0.753441,0.686666,-0.000001,0.520921,1.133202,0.000000,0.000000,0.000000,-0.753722,0.000000,-0.865127,1.106321,0.000000,0.000000,0.000000,0.000000,-0.877956,0.000000,0.736900,0.000000,-0.636953,-0.000002,0.000008,0.000001,1.009565,0.000000,0.764599,0.000000,-0.806348,-1.095957,0.000000,0.000000,0.166299,0.000000,0.000000,0.000000,0.149539,0.136286,0.000000,0.103389,0.224911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.219576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293460,0.000000,0.000000,0.000000,0.000003,0.000000,0.402045,0.000000,0.304491,0.000000,0.000000,0.000000,0.000000,0.000000
