sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
T0007,0,20188,0.000000,-0.979216,0.000000,-1.786186,-0.753441,-4.119999,-1.103489,-1.562761,-12.465214,-0.446913,-1.034212,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,-0.805626,-0.941921,0.000000,0.823175,0.736898,-0.641254,0.636955,0.000000,0.000004,0.000000,-1.009563,0.000000,0.000000,-0.812244,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374676,0.335406,0.000000,0.289916,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,1,22793,0.000000,-1.958433,-0.925964,-0.893093,-0.753441,-4.806667,-1.655233,-2.083683,-13.598412,-0.446913,-1.034212,-0.871120,0.000000,0.000000,-0.865126,0.000000,0.000000,0.000000,0.000000,0.000000,0.877956,0.823175,-0.000002,0.641254,1.273903,0.606220,4.602390,0.524126,-1.009563,0.471054,0.000000,-0.812244,-0.806348,0.000000,0.680105,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083613,0.078396,0.000000,0.061071,0.121322,0.057734,0.438315,0.049916,0.000000,0.044861,0.000000,0.000000,0.000000,0.000000,0.064771,0.000000
T0007,2,25432,0.000000,-0.979218,0.000000,0.000000,0.000000,-1.373333,-0.551743,-0.520924,-5.666008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,0.000000,0.736898,0.000000,1.273903,0.000000,2.301193,0.000000,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170895,0.000000,0.295432,0.000000,0.533673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,3,28047,0.000000,-1.958433,0.000000,-0.893093,-0.753441,-4.120001,-1.655231,-1.562761,-12.465214,-0.446913,-1.034212,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.877960,1.646351,0.736898,0.641254,1.910854,1.212437,3.451790,0.000000,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083794,0.157131,0.070331,0.061203,0.182376,0.115718,0.329446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,4,30647,0.000000,-0.979216,0.000000,-0.893093,-0.753441,-4.119999,-1.655231,-1.562761,-12.465214,-0.446913,0.000000,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,1.646351,0.736898,0.641254,1.910854,0.000000,3.451790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196294,0.087860,0.076457,0.227831,0.000000,0.411557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,5,33307,0.000000,-1.958433,0.000000,-0.893093,-0.753441,-3.433334,-1.655231,-1.562765,-11.332013,-0.446913,1.034210,-0.435560,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,1.646351,0.736898,0.641254,1.273903,0.000000,3.451790,0.000000,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212427,0.095081,0.082740,0.164370,0.000000,0.445381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,6,35956,0.000000,-0.979216,0.000000,-0.893093,-0.753441,-3.433332,-1.655231,-1.562761,-12.465214,-0.446913,0.000000,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,1.646351,0.736898,0.641254,1.273903,0.606220,3.451790,0.000000,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197016,0.088184,0.076738,0.152446,0.072545,0.413071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,7,38578,0.000000,-0.979216,0.000000,-0.893093,-0.753441,-4.119999,-1.655231,-1.562761,-12.465214,-0.446913,-1.034212,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.877960,0.823175,0.736898,0.641254,1.910854,0.606220,3.451790,0.000000,-1.009563,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097032,0.090977,0.081442,0.070871,0.211187,0.066999,0.381491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,8,41183,0.000000,-0.979216,0.000000,-0.893093,-0.753441,-4.119999,-1.655231,-1.562761,-12.465214,-0.446913,0.000000,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,1.646351,0.736898,0.641254,1.273903,0.000000,3.451790,0.000000,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212427,0.095081,0.082740,0.164370,0.000000,0.445381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
T0007,9,43760,0.000000,-1.958433,0.000000,-0.893093,-0.753441,-4.120001,-1.655231,-1.562761,-12.465214,-0.446913,-1.034212,-0.871120,0.000000,0.000000,-0.865127,0.000000,-0.632832,0.000000,0.000000,0.000000,0.000000,0.823175,0.736898,0.000000,1.910858,0.606220,3.451790,0.524126,0.000000,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102219,0.091505,0.000000,0.237283,0.075278,0.428630,0.065084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
