sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0029,0,23613,0.000000,0.000000,0.000000,-0.000002,0.000000,0.000002,-0.551746,-0.000002,-1.133205,0.000000,0.000000,0.000000,0.000000,0.808875,0.000000,1.106319,0.000000,0.000000,-0.805630,-0.941923,-1.755917,0.000000,-0.736900,-0.641251,0.000000,0.000000,-1.150597,0.000002,-0.000002,0.000000,0.000000,0.000000,0.000000,1.095957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422346,0.000000,0.577653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999998
S0029,1,26257,0.000000,0.000000,0.000000,-0.000002,-0.753441,-0.686665,-0.551746,-0.520922,-2.266399,0.000000,0.000000,0.000000,0.000000,0.808875,-0.865127,1.106319,0.000000,0.000000,-0.805630,-0.941923,-0.877956,0.000000,-0.736900,-0.641251,0.000000,0.000000,-1.150597,0.000002,-1.009565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422346,0.000000,0.577654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0029,2,28846,0.000000,0.000000,0.000000,-0.000002,-0.753441,-0.686665,-0.551746,-0.520922,-1.133205,0.000000,2.068422,0.000000,0.000000,0.808875,-0.865127,1.106319,0.000000,0.000000,0.000000,0.000000,-0.877956,0.823175,-0.736900,0.641258,1.273903,1.212440,4.602386,1.048250,1.009563,0.471054,0.000000,0.000000,0.000000,1.095957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.519232,0.000000,0.203050,0.000000,0.277717,0.000000,0.000000,0.000000,0.067595,0.000000,0.052657,0.104607,0.099560,0.086077,0.038681,0.000000,0.000000,0.377927,0.082901,0.000000,0.000000,0.000000,0.089995
S0029,3,31543,0.000000,0.000000,0.000000,0.000000,0.000000,-0.686665,-0.551743,-0.520920,-1.133202,0.000000,0.000000,-0.435560,0.000000,0.808875,0.000000,1.106319,0.000000,0.000000,-0.805626,-0.941925,-0.877956,-0.823175,-0.736900,-0.641252,0.000000,0.000000,-2.301193,0.000000,-1.009565,0.000000,0.000000,0.812244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422346,0.000000,0.577654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
S0029,4,34137,0.000000,-0.979216,0.000000,0.000000,0.000000,-0.686665,-0.551743,-0.520920,-2.266403,0.000000,1.034212,-0.435560,0.000000,0.000000,-0.865127,0.000000,0.000000,0.000000,-0.805626,-0.941925,-0.877956,-0.823175,-0.736900,-0.641252,0.000000,-0.606220,-1.150597,0.000000,-1.009565,0.000000,0.000000,0.812244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
S0029,5,36748,0.000000,-0.979216,0.000000,0.000000,0.000000,-0.686665,-0.551743,-0.520920,-2.266403,0.000000,0.000000,-0.435560,0.000000,0.000000,-0.865127,1.106319,0.000000,0.000000,-0.805626,-0.941925,-0.877956,-0.823175,-0.736900,-0.641252,0.000000,0.000000,-1.150597,0.000000,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.994141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0029,6,39287,0.000000,-0.979216,0.000000,0.000000,0.000000,-1.373333,-0.551743,-0.520920,-2.266403,-0.446913,0.000000,-0.435560,0.000000,0.000000,-0.865127,0.000000,0.000000,0.000000,-0.805630,-0.941923,-0.877956,0.000000,-0.736900,-1.282507,0.000000,-0.606220,-2.301193,0.524126,-1.009565,0.000000,0.000000,0.812244,0.000000,0.000000,-0.680105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.392201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.607799,0.000000,0.000000
S0029,7,41969,0.000000,0.000000,-0.925961,-0.000002,-0.753441,-0.686665,-0.551746,-1.041841,-1.133202,0.000000,2.068422,-0.435560,0.000000,0.808875,-0.865127,0.000000,-0.632832,0.000000,-0.805630,-0.941923,-1.755917,0.000000,-0.736900,-0.641251,0.000000,-0.606220,-2.301193,0.524126,-0.000002,0.000000,0.764599,0.812244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.718877,0.000000,0.281123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249469,0.000000,0.000000,0.000000,0.000000,0.000000,0.363927,0.386604,0.000000,0.000000
S0029,8,44596,0.000000,0.000000,0.000000,-0.000002,0.000000,-0.686665,-0.551746,-1.041841,-2.266403,0.000000,2.068422,0.000000,0.000000,0.000000,-0.865127,0.000000,0.000000,0.000000,-0.805630,-0.941923,-0.877956,0.000000,-0.736900,-0.641251,0.000000,-0.606220,-2.301193,0.524126,-0.000002,0.000000,0.000000,0.000000,0.000000,1.095957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676482
S0029,9,47228,0.000000,0.000000,0.000000,-0.893095,0.000000,-0.686665,-0.551746,-1.041841,-2.266403,0.000000,1.034212,0.000000,0.000000,0.808875,0.000000,0.000000,0.000000,0.000000,-0.805630,-0.941923,-0.877956,0.000000,-0.736900,-0.641251,0.000000,-0.606220,-2.301193,0.524126,-0.000001,0.000000,0.000000,0.000000,0.000000,1.095957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.561130,0.000000,0.438870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.323518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676482
